Degree Centrality,Closeness Centrality,Pagerank,Eigenvector Centrality,Betweenness Centrality
Aerys-II-Targaryen,Harwin,Jeyne-Poole,Kevan-Lannister,Ilyn-Payne
Brandon-Stark,Cayn,Myrcella-Baratheon,Samwell-Tarly,Harwin
Aggo,Alliser-Thorne,Aggo,Syrio-Forel,Alyn
Jhogo,Willis-Wode,Brandon-Stark,Robert-Arryn,Tomard
Rast,Marillion,Beric-Dondarrion,Harwin,Torrhen-Karstark
Jhiqui,Daryn-Hornwood,Tomard,High-Septon-(fat_one),Yoren
Bowen-Marsh,Porther,Aerys-II-Targaryen,Nan,Halder
Gerold-Hightower,Tobho-Mott,Karyl-Vance,Hodor,Grenn
Quaro,Tregar,Mycah,Cayn,Syrio-Forel
Rakharo,Wylla,Jaremy-Rykker,Torrhen-Karstark,Qotho
Boros-Blount,Varly,Ilyn-Payne,Osha,Irri
Alyn,Joss,Hallis-Mollen,Roose-Bolton,Rickon-Stark
Marq-Piper,Jacks,Alyn,Jorah-Mormont,Rickard-Stark
Marillion,Gendry,Mace-Tyrell,Desmond,Rast
Hoster-Tully,Howland-Reed,Willis-Wode,Viserys-Targaryen,Pypar
Mycah,Walder-Frey,Meryn-Trant,Drogo,Aggo
Vayon-Poole,Vardis-Egen,Yoren,Wendel-Manderly,Haggo
Hallis-Mollen,Jon-Umber-(Greatjon),Marillion,Illyrio-Mopatis,Jeyne-Poole
Roose-Bolton,Samwell-Tarly,Lyanna-Stark,Stiv,Mirri-Maz-Duur
Wyl-(guard),Robert-Arryn,Cohollo,Aegon-I-Targaryen,Jhogo
Harwin,Kevan-Lannister,Tytos-Blackwood,Eon-Hunter,Rakharo
Todder,Hallis-Mollen,Tommen-Baratheon,Addam-Marbrand,Lyanna-Stark
Cohollo,Lancel-Lannister,Rakharo,Grenn,Quaro
Hodor,Hullen,Todder,Daryn-Hornwood,Myrcella-Baratheon
Jaremy-Rykker,Wendel-Manderly,Nan,Jaremy-Rykker,Roose-Bolton
Lyanna-Stark,Shagga,Rast,Aemon-Targaryen-(Maester-Aemon),Cayn
Nan,Roose-Bolton,Marq-Piper,Chiggen,Doreah
Tytos-Blackwood,Conn,Hoster-Tully,Bowen-Marsh,Gendry
Robert-Arryn,Nan,Bowen-Marsh,Joss,Howland-Reed
Conn,Hodor,Kevan-Lannister,Jacks,Maegor-I-Targaryen
Chett,Timett,Osha,Tobho-Mott,Mord
Chiggen,Osha,Galbart-Glover,Tregar,Randyll-Tarly
Karyl-Vance,Chiggen,Syrio-Forel,Varly,Dywen
Waymar-Royce,Stiv,Quaro,Wylla,High-Septon-(fat_one)
Kevan-Lannister,Tytos-Blackwood,Vayon-Poole,Porther,Jacks
Osha,Boros-Blount,Roose-Bolton,Howland-Reed,Rhaego
Cayn,Jyck,Boros-Blount,Gendry,Joss
Danwell-Frey,Shae,Robert-Arryn,Joseth,Timett
Syrio-Forel,Morrec,Chett,Shagga,Paxter-Redwyne
Torrhen-Karstark,Chella,Mord,Halder,Jommo
Ogo,Gunthor-son-of-Gurn,Hullen,Balon-Swann,Porther
Gared,Kurleket,Jyck,Pypar,Donal-Noye
Albett,Stevron-Frey,Harwin,Tytos-Blackwood,Raymun-Darry
Eon-Hunter,Eon-Hunter,Paxter-Redwyne,Nestor-Royce,Tobho-Mott
Jyck,Leo-Lefford,Janos-Slynt,Lancel-Lannister,Jonos-Bracken
Timett,Mord,Wyl-(guard),Shae,Jyck
Heward,Aemon-Targaryen-(Maester-Aemon),Morrec,Rast,Morrec
High-Septon-(fat_one),Nestor-Royce,Chiggen,Stevron-Frey,Kurleket
Mace-Tyrell,Colemon,Torrhen-Karstark,Colemon,Othor
Hosteen-Frey,Mychel-Redfort,Clement-Piper,Conn,Matthar
Jared-Frey,Grenn,Dolf,Timett,Kevan-Lannister
Will-(prologue),Mya-Stone,Shae,Rickard-Stark,Jafer-Flowers
Maege-Mormont,Moreo-Tumitis,Cayn,Morrec,Hugh
Jommo,Masha-Heddle,Coratt,Jyck,Hobb
Raymun-Darry,Donnel-Waynwood,Arthur-Dayne,Maegor-I-Targaryen,Heward
Daryn-Hornwood,Halder,Timett,Leo-Lefford,Lancel-Lannister
Morrec,Bowen-Marsh,Albett,Kurleket,Harys-Swyft
Addam-Marbrand,Jaremy-Rykker,Jonos-Bracken,Gunthor-son-of-Gurn,Gunthor-son-of-Gurn
Stiv,Pypar,Jommo,Mord,Todder
Aegon-I-Targaryen,Rast,Maege-Mormont,Chella,Oswell-Whent
Nestor-Royce,Chett,Fogo,Arys-Oakheart,Leo-Lefford
Wendel-Manderly,Todder,Eon-Hunter,Todder,Lyn-Corbray
Stevron-Frey,Albett,Heward,Chett,Will-(prologue)
Joseth,Dareon,Oswell-Whent,Mya-Stone,Maege-Mormont
Shae,Donal-Noye,Daryn-Hornwood,Moreo-Tumitis,Wylla
Balon-Swann,Othor,Stevron-Frey,Masha-Heddle,Varly
Rickard-Stark,Hobb,Raymun-Darry,Donnel-Waynwood,Tregar
Colemon,Matthar,Ulf-son-of-Umar,Mychel-Redfort,Fogo
Desmond,Dywen,Mya-Stone,Albett,Addam-Marbrand
Balon-Greyjoy,Rickard-Stark,Colemon,Harys-Swyft,Dolf
Eroeh,Maegor-I-Targaryen,Addam-Marbrand,Hali,Chiggen
Hobb,Joseth,Thoros-of-Myr,Heward,Osha
Jafer-Flowers,Hali,Aegon-I-Targaryen,Donal-Noye,Nan
Hugh,Arys-Oakheart,Gunthor-son-of-Gurn,Hobb,Joseth
Othor,Addam-Marbrand,Rickard-Stark,Dywen,Hodor
Harys-Swyft,Harys-Swyft,Nestor-Royce,Dareon,Hallis-Mollen
Gunthor-son-of-Gurn,Balon-Swann,Donal-Noye,Matthar,Hali
Matthar,Heward,High-Septon-(fat_one),Othor,Thoros-of-Myr
Jonos-Bracken,Hugh,Joseth,Irri,Mance-Rayder
Arys-Oakheart,Waymar-Royce,Tobho-Mott,Doreah,Boros-Blount
Oswell-Whent,Mance-Rayder,Stiv,Hugh,Balon-Swann
Arthur-Dayne,Lyn-Corbray,Clydas,Jhogo,Balon-Greyjoy
Kurleket,Gared,Desmond,Qotho,Arys-Oakheart
Lancel-Lannister,Irri,Balon-Greyjoy,Mirri-Maz-Duur,Vayon-Poole
Leo-Lefford,Qotho,Wendel-Manderly,Jhiqui,Mycah
Clydas,Mirri-Maz-Duur,Dareon,Aggo,Desmond
Lyn-Corbray,Aggo,Jafer-Flowers,Mace-Tyrell,Arthur-Dayne
Paxter-Redwyne,Haggo,Rhaego,Maege-Mormont,Albett
Maegor-I-Targaryen,Doreah,Chella,Karyl-Vance,Clydas
Mord,Jhogo,Kurleket,Lyn-Corbray,Chett
Randyll-Tarly,Quaro,Masha-Heddle,Waymar-Royce,Bowen-Marsh
Mance-Rayder,Rakharo,Randyll-Tarly,Mance-Rayder,Aegon-I-Targaryen
Fogo,Jhiqui,Balon-Swann,Haggo,Stiv
Thoros-of-Myr,Cohollo,Eroeh,Quaro,Marillion
Rhaego,Karyl-Vance,Hobb,Rakharo,Daryn-Hornwood
Clement-Piper,Maege-Mormont,Othor,Cohollo,Shae
Chella,Eroeh,Joss,Gared,Dareon
Mychel-Redfort,Mace-Tyrell,Leo-Lefford,Thoros-of-Myr,Jared-Frey
Dareon,Thoros-of-Myr,Dywen,Eroeh,Hosteen-Frey
Mya-Stone,Ogo,Jacks,Danwell-Frey,Jhiqui
Moreo-Tumitis,Jommo,Porther,Oswell-Whent,Eroeh
Dolf,Oswell-Whent,Tregar,Arthur-Dayne,Coratt
Donal-Noye,Arthur-Dayne,Varly,Randyll-Tarly,Cohollo
Masha-Heddle,Rhaego,Lyn-Corbray,Ogo,Clement-Piper
Donnel-Waynwood,Danwell-Frey,Mance-Rayder,Jommo,Chella
Dywen,Randyll-Tarly,Moreo-Tumitis,Rhaego,Janos-Slynt
Hali,Dolf,Mychel-Redfort,Jafer-Flowers,Wendel-Manderly
Gendry,Ulf-son-of-Umar,Donnel-Waynwood,Clydas,Stevron-Frey
Howland-Reed,Coratt,Maegor-I-Targaryen,Dolf,Robert-Arryn
Jacks,Jonos-Bracken,Matthar,Ulf-son-of-Umar,Mychel-Redfort
Joss,Clydas,Harys-Swyft,Jonos-Bracken,Mya-Stone
Porther,Jafer-Flowers,Hugh,Coratt,Moreo-Tumitis
Tobho-Mott,Will-(prologue),Wylla,Will-(prologue),Masha-Heddle
Tregar,Clement-Piper,Howland-Reed,Paxter-Redwyne,Eon-Hunter
Varly,Paxter-Redwyne,Gendry,Clement-Piper,Donnel-Waynwood
Wylla,Fogo,Hali,Jared-Frey,Colemon
Coratt,Hosteen-Frey,Lancel-Lannister,Hosteen-Frey,Nestor-Royce
Ulf-son-of-Umar,Jared-Frey,Arys-Oakheart,Fogo,Ulf-son-of-Umar
